model_name,result_path,mae,rmse,plcc,srocc,krocc,prediction_rate,valid_predictions,total_predictions
higher_lr_g4_beta0_lr2e-5_temp07,output/sweeps/grpo_param_study/runs/higher_lr_g4_beta0_lr2e-5_temp07/eval/eval_results.json,0.6657777428627014,0.7962179183959961,0.8969340920448303,0.9072216639819722,0.787864247611332,1.0,300,300
shorter_completion_g4_beta0_lr1e-5_len16,output/sweeps/grpo_param_study/runs/shorter_completion_g4_beta0_lr1e-5_len16/eval/eval_results.json,0.6584444046020508,0.7852293252944946,0.8735604882240295,0.90207633998995,0.7888053758708264,1.0,300,300
lower_lr_g4_beta0_lr5e-6_temp07,output/sweeps/grpo_param_study/runs/lower_lr_g4_beta0_lr5e-6_temp07/eval/eval_results.json,0.6542221903800964,0.7899413704872131,0.859104335308075,0.8834169683178029,0.7640738595393264,1.0,300,300
baseline_g4_beta0_lr1e-5_temp07,output/sweeps/grpo_param_study/runs/baseline_g4_beta0_lr1e-5_temp07/eval/eval_results.json,0.690380334854126,0.8245397210121155,0.8542240858078003,0.8828576033196907,0.7631695475212499,0.9933333333333333,298,300
longer_completion_g4_beta0_lr1e-5_len48,output/sweeps/grpo_param_study/runs/longer_completion_g4_beta0_lr1e-5_len48/eval/eval_results.json,0.6828888654708862,0.8127912282943726,0.8685763478279114,0.8811569759688505,0.7635653829348537,1.0,300,300
kl_beta002_g4_lr1e-5_temp07,output/sweeps/grpo_param_study/runs/kl_beta002_g4_lr1e-5_temp07/eval/eval_results.json,0.6539518237113953,0.7799584865570068,0.854261040687561,0.8773454735783458,0.7587925960302545,0.97,291,300
kl_beta005_g4_lr1e-5_temp07,output/sweeps/grpo_param_study/runs/kl_beta005_g4_lr1e-5_temp07/eval/eval_results.json,0.6624444127082825,0.7875465750694275,0.8572319746017456,0.8766830957096865,0.7561607594234073,1.0,300,300
lower_temp_g4_beta0_lr1e-5_temp03,output/sweeps/grpo_param_study/runs/lower_temp_g4_beta0_lr1e-5_temp03/eval/eval_results.json,0.6808888912200928,0.8167732357978821,0.8535045385360718,0.8762654049834946,0.7560168157933114,1.0,300,300
higher_temp_g4_beta0_lr1e-5_temp10,output/sweeps/grpo_param_study/runs/higher_temp_g4_beta0_lr1e-5_temp10/eval/eval_results.json,0.7947790026664734,0.9217729568481445,0.7620986700057983,0.8139436900442972,0.7047927363521036,0.5533333333333333,166,300
group2_beta0_lr1e-5_temp07,output/sweeps/grpo_param_study/runs/group2_beta0_lr1e-5_temp07/eval/eval_results.json,1.0428571701049805,1.1002163887023926,0.3965854346752167,0.2699869228251308,0.21911495530055367,0.04666666666666667,14,300
base_model_g4_beta0_lr1e-5_temp07,output/sweeps/grpo_param_study/runs/base_model_g4_beta0_lr1e-5_temp07/eval/eval_results.json,0.9738805890083313,1.1515544652938843,0.07571176439523697,0.07278179052674985,0.06077748571976757,0.8933333333333333,268,300
base_model_lower_lr_g4_beta0_lr5e-6_temp07,output/sweeps/grpo_param_study/runs/base_model_lower_lr_g4_beta0_lr5e-6_temp07/eval/eval_results.json,1.0267412662506104,1.2124544382095337,-0.041705843061208725,-0.04230624785749667,-0.035326275978196174,0.8933333333333333,268,300
